
lb_winLauncher_allScenes	所有场景
lb_winLauncher_refresh	刷新
lb_winLauncher_infoChangeImg	* 推拽并丢入图片文件来修改，双击文本进行编辑；
lb_winLauncher_name	名称
lb_winLauncher_search	搜索
lb_winLauncher_infoSearch	* 使用空格‘ ’开模糊匹配；
lb_winLauncher_createPeer	创建同级
lb_winLauncher_createLeaf	创建下级
lb_winLauncher_infoCreate	* 任何下级节点都会继承它的上级节点；

lb_winLauncher_save	保存

lb_winLauncher_delete	删除…
lb_winLauncher_maintain	维护
lb_winLauncher_calculateAuto	自动计算
lb_winLauncher_calculateManu	手动计算
lb_winLauncher_msgBox_selectAScene_title	警告
lb_winLauncher_msgBox_selectAScene_content	请选择一个场景。
lb_winLauncher_msgBox_error	错误
lb_winLauncher_msgBox_selectAScene_toDelete_title	删除前
lb_winLauncher_msgBox_selectAScene_toDelete_content	先选择一个场景。
lb_winLauncher_msgBox_deleteScene_title	删除场景
lb_winLauncher_msgBox_deleteScene_content	场景【{0}】的所有子内容{1}都将删除，{2}继续吗？！
lb_winLauncher_msgBox_selectAScene_toMaintain_title	继续之前
lb_winLauncher_msgBox_selectAScene_toMaintain_content	先选择一个场景。
lb_winLauncher_msgBox_selectAScene_toCalculate_title	继续之前
lb_winLauncher_msgBox_selectAScene_toCalculate_content	先选择一个场景。
lb_winLauncher_msgBox_noLanguageFile_title	消息
lb_winLauncher_msgBox_noLanguageFile_content	无语言文件。


lb_winCalculator_title	CC: 计算器
lb_winCalculator_preFilters	预过滤
lb_winCalculator_procedures	制程
lb_winCalculator_accessories	插件
lb_winCalculator_channels	通道
lb_winCalculator_inputs	输入
lb_winCalculator_outputs	输出
lb_winCalculator_msgBox_noChannel_title	消息
lb_winCalculator_msgBox_noChannel_content	无可用通道。
lb_winCalculator_msgBox_noProductSelected_title	消息
lb_winCalculator_msgBox_noProductSelected_content	未选择产品。
lb_winCalculator_msgBox_selectAProcessToContinue_title	哪个制程？
lb_winCalculator_msgBox_selectAProcessToContinue_content	先选择一个制程。

lb_winCalculator_preconditions	预设
lb_winCalculator_manufacture	生产
lb_winCalculator_search	搜索
lb_winCalculator_msgBox_searchNoResult_title	消息
lb_winCalculator_msgBox_searchNoResult_content	当前条件下，无法制造这个物品。
lb_winCalculator_possibleCombinations	所有组合

lb_winCalculator_dg_count	计数
lb_winCalculator_dg_accessories	插件
lb_winCalculator_dg_inputs	输入
lb_winCalculator_dg_outputs	输出
lb_winCalculator_dg_optimizedChannels	最优通道
lb_winCalculator_dg_processors	处理器

lb_winCalculator_quantify	产量
lb_winCalculator_processors	处理器
lb_winCalculator_outputSpeedPS	输出速度 每秒
lb_winCalculator_outputSpeedPM	输出速度 每分
lb_winCalculator_outputSpeedPH	输出速度 每时

lb_winCalculator_graphAlpha	图形α
lb_winCalculator_zoomOut	缩小
lb_winCalculator_originScale	原始尺寸
lb_winCalculator_zoomIn	放大
lb_winCalculator_saveAsImage	存为图片…

lb_winCalculator_newCalculator	新计算



lb_winSelectThings_titleSelectSingle	CC: 单选物品
lb_winSelectThings_titleSelectMultiple	CC: 多选物品
lb_winSelectThings_thingsInScene	包含于
lb_winSelectThings_thingsFrom	物品来自于[{0}]

lb_winSelectThings_dg_pic	图
lb_winSelectThings_dg_ds	禁
lb_winSelectThings_dg_rl	系
lb_winSelectThings_dg_name	名称
lb_winSelectThings_dg_type	类型

lb_winSelectThings_infoDisableInvisible	* 禁用的物品将不被显示；
lb_winSelectThings_name	名称
lb_winSelectThings_search	搜索
lb_winSelectThings_type	类型
lb_winSelectThings_picture	图片
lb_winSelectThings_description	描述
lb_winSelectThings_ok	好的
lb_winSelectThings_cancel	取消
lb_winSelectThings_infoCtrlEnter	* Ctrl+Enter



lb_winMaintain_title	CC: 维护
lb_winMaintain_things	物品
lb_winMaintain_dg_pic	图
lb_winMaintain_dg_ds	禁
lb_winMaintain_dg_rl	系
lb_winMaintain_dg_name	名称
lb_winMaintain_dg_type	类型

lb_winMaintain_deselect	取消选择
lb_winMaintain_clear	清空
lb_winMaintain_name	名称
lb_winMaintain_search	搜索
lb_winMaintain_id	ID
lb_winMaintain_parentId	父ID
lb_winMaintain_myId	我的ID
lb_winMaintain_isDisabled	是否禁用
lb_winMaintain_unit	单位
lb_winMaintain_description	描述
lb_winMaintain_picture	图片
lb_winMaintain_infoChangeImage	* 丢入图片，或Ctrl+V输入剪贴板中的图片；
lb_winMaintain_delete	删除…
lb_winMaintain_animaInfo_saved	已保存 ！
lb_winMaintain_animaInfo_deleted	已删除 ！

lb_winMaintain_createUpdate	创建/更新
lb_winMaintain_create	创建
lb_winMaintain_update	更新
lb_winMaintain_inherite	继承
lb_winMaintain_preIdInherite	(继承的)

lb_winMaintain_info	消息
lb_winMaintain_warning	警告
